"","errors","Facebook","legis.names","Party","Business","Notes"
"1","try-error","","Nozha Biaoui","Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger",0,"0.6899563319"
"2","data.frame","karim.helali.16","Karim Helali","Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger",0,""
"3","data.frame","riadh.mouakhar","Riadh Mouakhar","Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger",0,""
"4","data.frame","100004417455564","Ali Bennour","Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger",0,""
"5","data.frame","dr.mohamed.ghannem","Mohamed Ghannem","Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger",0,""
"6","try-error","","Mohamed Anouar Adhar","Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger",1,"Perhaps, according to http://archivev2.mosaiquefm.net/fr/index/a/ActuDetail/Element/50125-anouar-adhar-80-des-produits-de-contrebande-passent-par-les-postes-frontaliers"
"7","data.frame","","Hafedh Zouari","Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger",1,""
"8","data.frame","RymMahjoubMasmoudi","Rim Mahjoub","Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger",0,""
"9","data.frame","443819605789745","Lilia Younes Ksibi","Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger",0,""
"10","data.frame","rjaidane","Riadh Jaidane","Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger",0,""
"11","data.frame","Zied.Ladhari.Officiel","Zied Laadhari","Aucun bloc",0,""
"12","data.frame","sabri.dekhil.7","Sabri Dekhil","Aucun bloc",0,""
"13","try-error","yassine.brahim.afek","Yassine Brahim","Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger",0,"Yassine Brahim before he was put in the ministry"
"14","data.frame","Selma.Elloumi","Salma Elloumi","Mouvement Nidaa Tounes",1,"Nidaa Tounes member, became a minister, also a businesswoman"
"15","data.frame","noomanefehri.deputeanc","Noomane Fehri","Afek Tounes, le mouvement national et l'appel des tunisiens à l'étranger",0,"Afek Tounes, also became a minister"
"16","try-error","","Ibrahim Ben Said","Aucun bloc",0,""
"17","try-error","ImedDaimiOfficielle","Imed Daimi","Aucun bloc",0,"CPR"
"18","data.frame","boutheina.benyaghlane","Boutheina Ben Yaghlane","Mouvement Ennahdha",0,"Became minister"
"19","data.frame","ghazi.chaouachi","Ghazi Chaouachi","Aucun bloc",0,"Is supposedly a member of the party Democratique Courant"
"20","data.frame","mabrouk.hrizi","Mabrouk Hrizi","Aucun bloc",0,"CPR"
"21","data.frame","316223045078161","Touhami Abdouli","Aucun bloc",0,""
"22","try-error","","Noomane El Euch","Aucun bloc",1,"Also Courant Democrat"
"23","try-error","Abbou.Samia","Samia Abbou","Aucun bloc",0,"Also Courant Democrat"
"24","data.frame","Ali.Belakhoua.Officiel","Ali Belakhoua","UPL",1,"Is the head of starz electronics http://www.huffpostmaghreb.com/2015/06/10/tunisie-abada-kefi_n_7553266.html"
"25","data.frame","noureddine.benachour.1","Noureddine Ben Achour","UPL",0,"Was UPL, just rejoined Nidaa http://www.businessnews.com.tn/noureddine-ben-aour-le-depute-demissionnaire-de-lupl-rejoint-nidaa-tounes,520,64226,3"
"26","data.frame","jouini.upl","Youssef Jouini","Aucun bloc",0,"Was UPL http://www.businessnews.com.tn/le-depute-youssef-jouini-quitte-lupl,520,61743,3"
"27","try-error","mohamedlazhar.akremi","Mohamed Lazhar Akremi","Mouvement Nidaa Tounes",0,"Became minister, founded Nidaa Tounes"
"28","data.frame","sabrine.goubantini","Sabrine Goubantini","Mouvement Nidaa Tounes",0,""
"29","try-error","abderrazak.cherait","Abderrazak Chraiet","Aucun bloc",1,"Invests in real estate in Tozeur http://www.destinationtunisie.info/abderrazak-cherait-hotelier-au-parlement/"
"30","try-error","","Ridha Dellai","Aucun bloc",0,""
"31","data.frame","ridhazghondi11","Ridha Zghondi","Aucun bloc",0,"Was UPL http://www.businessnews.com.tn/tunisie-le-depute-de-lupl-ridha-zghondi-demissionne-de-son-parti,520,55587,3"
