her_name,bloc_name,bloc_start,bloc2_name,bloc_end
Mohamed Kamel Hamzaoui,Mouvement Nidaa Tounes,12/20/14,,
Abada Kefi,Mouvement Nidaa Tounes,12/20/14,Bloc Al Horra du Mouvement Machrouu Tounes,1/20/16
Taher Battikh,Mouvement Nidaa Tounes,2/20/15,,10/20/17
Hatem Ferjani,Mouvement Nidaa Tounes,12/20/14,,9/20/17
Faten Oueslati,Bloc Social-Démocrate,12/20/14,,
Salem Hamdi,Mouvement Nidaa Tounes,12/20/14,,2/20/17
Mehdi Ben Gharbia,Alliance Démocratique,12/20/14,,
Iyad Dahmani,Bloc Social-Démocrate,12/20/14,,9/20/16
Riadh Mouakhar,Afek Tounes et l'appel des tunisiens à l'étranger,12/20/14,,9/20/16
Sayida Ounissi,Mouvement Ennahdha,12/20/14,,9/20/16
Khaled Chouket,Mouvement Nidaa Tounes,12/20/14,,1/20/16
Mohsen Hssan,Union Patriotique Libre,12/20/14,,1/20/16
Hamdi Guezguez,Mouvement Nidaa Tounes,12/20/14,,7/20/15
Hayet Kebaier,Mouvement Nidaa Tounes,12/20/14,,10/20/15
Touhami Abdouli,Front Populaire,12/20/14,,
Said Aidi,Mouvement Nidaa Tounes,12/20/14,,2/20/15
Mohamed Lazhar Akremi,Mouvement Nidaa Tounes,12/20/14,,2/20/15
Boutheina Ben Yaghlane,Mouvement Ennahdha,12/20/14,,2/20/15
Yassine Brahim,Afek Tounes et l'appel des tunisiens à l'étranger,12/20/14,,2/20/15
Salma Elloumi,Mouvement Nidaa Tounes,12/20/14,,2/20/15
Noomane Fehri,Afek Tounes et l'appel des tunisiens à l'étranger,12/20/14,,2/20/15
Zied Laadhari,Mouvement Ennahdha,12/20/14,,2/20/15
Oussama Al Saghir,Mouvement Ennahdha,12/20/14,,2/20/15
Marouan Felfel,Mouvement Nidaa Tounes,1/20/16,Bloc Al Horra du Mouvement Machrouu Tounes,3/20/16
