vote_id,law_id,law_title,vote_title,vote_date,period,bloc,status,n_yes,n_no,n_absent_unexcused,n_absent_excused,n_abstain,n_members,n_present,n_cast,bloc_majority,n_agree_within_bloc,pct_agree_within_bloc,bloc_majority_yn,pct_agree_within_bloc_yn,coalition_majority,pct_agree_within_coalition,follows_coalition
54d3755f12bdaa7fd95ef795,False,False,Vote de confiance au gouvernement de Habib Essid,2015-02-05,P1_2015-02..2018-09,Afek Tounes,coalition,6,0,0,0,0,6,6,6,yes,6,1,yes,1,yes,0.9515151515151515,TRUE
54d3755f12bdaa7fd95ef795,False,False,Vote de confiance au gouvernement de Habib Essid,2015-02-05,P1_2015-02..2018-09,Aucun bloc,independent,4,10,0,0,0,14,14,14,no,10,0.7142857142857143,no,0.7142857142857143,yes,0.9515151515151515,FALSE
54d3755f12bdaa7fd95ef795,False,False,Vote de confiance au gouvernement de Habib Essid,2015-02-05,P1_2015-02..2018-09,Front Populaire,opposition,0,14,1,0,0,15,14,14,no,14,1,no,1,yes,0.9515151515151515,FALSE
54d3755f12bdaa7fd95ef795,False,False,Vote de confiance au gouvernement de Habib Essid,2015-02-05,P1_2015-02..2018-09,Nahda,coalition,58,0,4,2,3,67,61,58,yes,58,0.9508196721311475,yes,1,yes,0.9515151515151515,TRUE
54d3755f12bdaa7fd95ef795,False,False,Vote de confiance au gouvernement de Habib Essid,2015-02-05,P1_2015-02..2018-09,Nidaa Tounes,coalition,77,1,0,0,4,82,82,78,yes,77,0.9390243902439024,yes,0.9871794871794872,yes,0.9515151515151515,TRUE
54d3755f12bdaa7fd95ef795,False,False,Vote de confiance au gouvernement de Habib Essid,2015-02-05,P1_2015-02..2018-09,Social-Démocrate,opposition,2,5,0,0,1,8,8,7,no,5,0.625,no,0.7142857142857143,yes,0.9515151515151515,FALSE
54d3755f12bdaa7fd95ef795,False,False,Vote de confiance au gouvernement de Habib Essid,2015-02-05,P1_2015-02..2018-09,Union Patriotique Libre,coalition,16,0,0,0,0,16,16,16,yes,16,1,yes,1,yes,0.9515151515151515,TRUE
54f09a8112bdaa3bd21fa593,False,False,"Question: Est ce que l'opposition concernée par la présidence de la commission des finances, de la planification et du développement et le rôle de rapporteur au sein de la commission des droits, des libertés et des relations extérieures est formée des groupes parlementaires opposants uniquement ?",2015-02-27,P1_2015-02..2018-09,Afek Tounes,coalition,6,0,2,0,0,8,6,6,yes,6,1,yes,1,yes,0.6,TRUE
54f09a8112bdaa3bd21fa593,False,False,"Question: Est ce que l'opposition concernée par la présidence de la commission des finances, de la planification et du développement et le rôle de rapporteur au sein de la commission des droits, des libertés et des relations extérieures est formée des groupes parlementaires opposants uniquement ?",2015-02-27,P1_2015-02..2018-09,Aucun bloc,independent,2,0,12,1,0,15,2,2,yes,2,1,yes,1,yes,0.6,TRUE
54f09a8112bdaa3bd21fa593,False,False,"Question: Est ce que l'opposition concernée par la présidence de la commission des finances, de la planification et du développement et le rôle de rapporteur au sein de la commission des droits, des libertés et des relations extérieures est formée des groupes parlementaires opposants uniquement ?",2015-02-27,P1_2015-02..2018-09,Front Populaire,opposition,15,0,0,0,0,15,15,15,yes,15,1,yes,1,yes,0.6,TRUE
54f09a8112bdaa3bd21fa593,False,False,"Question: Est ce que l'opposition concernée par la présidence de la commission des finances, de la planification et du développement et le rôle de rapporteur au sein de la commission des droits, des libertés et des relations extérieures est formée des groupes parlementaires opposants uniquement ?",2015-02-27,P1_2015-02..2018-09,Nahda,coalition,0,0,13,1,55,69,55,0,abstain,55,1,NA,NA,yes,0.6,FALSE
54f09a8112bdaa3bd21fa593,False,False,"Question: Est ce que l'opposition concernée par la présidence de la commission des finances, de la planification et du développement et le rôle de rapporteur au sein de la commission des droits, des libertés et des relations extérieures est formée des groupes parlementaires opposants uniquement ?",2015-02-27,P1_2015-02..2018-09,Nidaa Tounes,coalition,74,0,7,4,0,85,74,74,yes,74,1,yes,1,yes,0.6,TRUE
54f09a8112bdaa3bd21fa593,False,False,"Question: Est ce que l'opposition concernée par la présidence de la commission des finances, de la planification et du développement et le rôle de rapporteur au sein de la commission des droits, des libertés et des relations extérieures est formée des groupes parlementaires opposants uniquement ?",2015-02-27,P1_2015-02..2018-09,Social-Démocrate,opposition,0,0,8,0,0,8,0,0,NA,0,NA,NA,NA,yes,0.6,NA
54f09a8112bdaa3bd21fa593,False,False,"Question: Est ce que l'opposition concernée par la présidence de la commission des finances, de la planification et du développement et le rôle de rapporteur au sein de la commission des droits, des libertés et des relations extérieures est formée des groupes parlementaires opposants uniquement ?",2015-02-27,P1_2015-02..2018-09,Union Patriotique Libre,coalition,10,2,0,1,3,16,15,12,yes,10,0.6666666666666666,yes,0.8333333333333334,yes,0.6,TRUE
5502ed9a12bdaa07a353834d,False,False,"Question: Est ce que l'opposition concernée par la présidence de la commission des finances, de la planification et du développement et le rôle de rapporteur au sein de la commission des droits, des libertés et des relations extérieures est formée conjointement des groupes parlementaires opposants et des députés opposants ?",2015-02-27,P1_2015-02..2018-09,Afek Tounes,coalition,0,6,2,0,0,8,6,6,no,6,1,no,1,no,0.6,TRUE
5502ed9a12bdaa07a353834d,False,False,"Question: Est ce que l'opposition concernée par la présidence de la commission des finances, de la planification et du développement et le rôle de rapporteur au sein de la commission des droits, des libertés et des relations extérieures est formée conjointement des groupes parlementaires opposants et des députés opposants ?",2015-02-27,P1_2015-02..2018-09,Aucun bloc,independent,0,2,12,1,0,15,2,2,no,2,1,no,1,no,0.6,TRUE
5502ed9a12bdaa07a353834d,False,False,"Question: Est ce que l'opposition concernée par la présidence de la commission des finances, de la planification et du développement et le rôle de rapporteur au sein de la commission des droits, des libertés et des relations extérieures est formée conjointement des groupes parlementaires opposants et des députés opposants ?",2015-02-27,P1_2015-02..2018-09,Front Populaire,opposition,0,15,0,0,0,15,15,15,no,15,1,no,1,no,0.6,TRUE
