period,bloc,status,n_mp
P1_2015-02..2018-09,Afek Tounes,coalition,11
P1_2015-02..2018-09,Afek Tounes,opposition,10
P1_2015-02..2018-09,Aucun bloc,independent,63
P1_2015-02..2018-09,Front Populaire,opposition,15
P1_2015-02..2018-09,Horra,non_coalition,33
P1_2015-02..2018-09,Nahda,coalition,70
P1_2015-02..2018-09,Nidaa Tounes,coalition,100
P1_2015-02..2018-09,Social-Démocrate,opposition,20
P1_2015-02..2018-09,Union Patriotique Libre,coalition,17
P2_2018-10..2019-08,Aucun bloc,independent,49
P2_2018-10..2019-08,Front Populaire,opposition,15
P2_2018-10..2019-08,Horra,coalition,17
P2_2018-10..2019-08,Nahda,coalition,69
P2_2018-10..2019-08,Nidaa Tounes,former_governing,56
P2_2018-10..2019-08,Social-Démocrate,opposition,12
P2_2018-10..2019-08,Tahya Tounes,coalition,58
