ym,status,n_mp
2015-02,coalition,178
2015-02,independent,15
2015-02,opposition,23
2015-03,coalition,178
2015-03,independent,15
2015-03,opposition,23
2015-04,coalition,178
2015-04,independent,15
2015-04,opposition,23
2015-05,coalition,178
2015-05,independent,15
2015-05,opposition,23
2015-06,coalition,178
2015-06,independent,15
2015-06,opposition,23
2015-07,coalition,179
2015-07,independent,15
2015-07,opposition,23
2015-08,coalition,179
2015-08,independent,15
2015-08,opposition,23
2015-09,coalition,179
2015-09,independent,15
2015-09,opposition,23
2015-10,coalition,180
2015-10,independent,15
2015-10,opposition,23
2015-11,coalition,179
2015-11,independent,15
2015-11,opposition,23
2015-12,coalition,179
2015-12,independent,15
2015-12,opposition,23
2016-01,coalition,179
2016-01,independent,15
2016-01,opposition,23
2016-02,coalition,157
2016-02,independent,17
2016-02,non_coalition,22
2016-02,opposition,25
2016-03,coalition,153
2016-03,independent,17
2016-03,non_coalition,24
2016-03,opposition,25
2016-04,coalition,151
2016-04,independent,21
2016-04,non_coalition,28
2016-04,opposition,25
2016-05,coalition,150
2016-05,independent,18
2016-05,non_coalition,27
2016-05,opposition,25
2016-06,coalition,153
2016-06,independent,16
2016-06,non_coalition,26
2016-06,opposition,25
2016-07,coalition,158
2016-07,independent,16
2016-07,non_coalition,25
2016-07,opposition,22
2016-08,coalition,157
2016-08,independent,13
2016-08,non_coalition,25
2016-08,opposition,22
2016-09,coalition,157
2016-09,independent,22
2016-09,non_coalition,25
2016-09,opposition,17
2016-11,coalition,158
2016-11,independent,10
2016-11,non_coalition,25
2016-11,opposition,27
2016-12,coalition,157
2016-12,independent,13
2016-12,non_coalition,23
2016-12,opposition,27
2017-01,coalition,157
2017-01,independent,13
2017-01,non_coalition,21
2017-01,opposition,27
2017-02,coalition,158
2017-02,independent,12
2017-02,non_coalition,21
2017-02,opposition,27
2017-03,coalition,156
2017-03,independent,13
2017-03,non_coalition,21
2017-03,opposition,27
2017-04,coalition,156
2017-04,independent,16
2017-04,non_coalition,21
2017-04,opposition,27
2017-05,coalition,152
2017-05,independent,10
2017-05,non_coalition,21
2017-05,opposition,27
2017-06,coalition,149
2017-06,independent,11
2017-06,non_coalition,23
2017-06,opposition,27
2017-07,coalition,149
2017-07,independent,10
2017-07,non_coalition,24
2017-07,opposition,27
2017-09,coalition,148
2017-09,independent,11
2017-09,non_coalition,23
2017-09,opposition,27
2017-10,coalition,146
2017-10,independent,12
2017-10,non_coalition,22
2017-10,opposition,27
2017-11,coalition,146
2017-11,independent,12
2017-11,non_coalition,22
2017-11,opposition,27
2017-12,coalition,147
2017-12,independent,14
2017-12,non_coalition,21
2017-12,opposition,27
2018-01,coalition,146
2018-01,independent,14
2018-01,non_coalition,21
2018-01,opposition,37
2018-02,coalition,135
2018-02,independent,14
2018-02,non_coalition,21
2018-02,opposition,37
2018-03,coalition,135
2018-03,independent,17
2018-03,non_coalition,21
2018-03,opposition,36
2018-04,coalition,135
2018-04,independent,16
2018-04,non_coalition,21
2018-04,opposition,34
2018-05,coalition,136
2018-05,independent,14
2018-05,non_coalition,20
2018-05,opposition,28
2018-06,coalition,136
2018-06,independent,11
2018-06,non_coalition,20
2018-06,opposition,28
2018-07,coalition,137
2018-07,independent,11
2018-07,non_coalition,21
2018-07,opposition,28
2018-10,coalition,134
2018-10,former_governing,56
2018-10,independent,7
2018-10,opposition,27
2018-11,coalition,126
2018-11,former_governing,52
2018-11,independent,10
2018-11,opposition,27
2018-12,coalition,127
2018-12,former_governing,46
2018-12,independent,6
2018-12,opposition,27
2019-01,coalition,128
2019-01,former_governing,46
2019-01,independent,12
2019-01,opposition,27
2019-02,coalition,128
2019-02,former_governing,41
2019-02,independent,11
2019-02,opposition,27
2019-03,coalition,128
2019-03,former_governing,41
2019-03,independent,12
2019-03,opposition,27
2019-04,coalition,128
2019-04,former_governing,41
2019-04,independent,15
2019-04,opposition,27
2019-05,coalition,128
2019-05,former_governing,41
2019-05,independent,19
2019-05,opposition,27
2019-06,coalition,127
2019-06,former_governing,37
2019-06,independent,31
2019-06,opposition,27
2019-07,coalition,128
2019-07,former_governing,37
2019-07,independent,32
2019-07,opposition,21
2019-08,coalition,126
2019-08,former_governing,25
2019-08,independent,34
2019-08,opposition,21
