period,ym,n_votes,mean_agree,sd_agree
P1_2015-02..2018-09,2015-02,3,0.7172,0.2029
P1_2015-02..2018-09,2015-03,15,0.9832,0.024
P1_2015-02..2018-09,2015-04,47,0.9665,0.0693
P1_2015-02..2018-09,2015-05,98,0.9753,0.0497
P1_2015-02..2018-09,2015-06,13,0.9826,0.0311
P1_2015-02..2018-09,2015-07,188,0.9524,0.0953
P1_2015-02..2018-09,2015-08,150,0.9494,0.0645
P1_2015-02..2018-09,2015-09,104,0.9767,0.0493
P1_2015-02..2018-09,2015-10,14,0.9848,0.0089
P1_2015-02..2018-09,2015-11,205,0.9531,0.0969
P1_2015-02..2018-09,2015-12,156,0.9527,0.0717
P1_2015-02..2018-09,2016-01,21,0.9226,0.0622
P1_2015-02..2018-09,2016-02,57,0.9483,0.0849
P1_2015-02..2018-09,2016-03,187,0.9713,0.0511
P1_2015-02..2018-09,2016-04,258,0.9491,0.0856
P1_2015-02..2018-09,2016-05,132,0.9766,0.0604
P1_2015-02..2018-09,2016-06,311,0.9631,0.0823
P1_2015-02..2018-09,2016-07,128,0.9521,0.0933
P1_2015-02..2018-09,2016-08,1,0.9857,NA
P1_2015-02..2018-09,2016-09,76,0.9528,0.1046
P1_2015-02..2018-09,2016-11,47,0.9827,0.0286
P1_2015-02..2018-09,2016-12,169,0.9311,0.1075
P1_2015-02..2018-09,2017-01,11,0.8402,0.2222
P1_2015-02..2018-09,2017-02,104,0.9644,0.084
P1_2015-02..2018-09,2017-03,37,0.9656,0.0377
P1_2015-02..2018-09,2017-04,67,0.9477,0.0733
P1_2015-02..2018-09,2017-05,24,0.9047,0.1149
P1_2015-02..2018-09,2017-06,27,0.9246,0.0667
P1_2015-02..2018-09,2017-07,196,0.9369,0.0866
P1_2015-02..2018-09,2017-09,33,0.9702,0.0359
P1_2015-02..2018-09,2017-10,4,0.9727,0.0051
P1_2015-02..2018-09,2017-11,9,0.9832,0.0078
P1_2015-02..2018-09,2017-12,114,0.8702,0.1657
P1_2015-02..2018-09,2018-01,83,0.9363,0.102
P1_2015-02..2018-09,2018-02,23,0.9876,0.0204
P1_2015-02..2018-09,2018-03,15,0.9985,0.0057
P1_2015-02..2018-09,2018-04,665,0.9619,0.0884
P1_2015-02..2018-09,2018-05,120,0.9663,0.0678
P1_2015-02..2018-09,2018-06,19,0.976,0.0351
P1_2015-02..2018-09,2018-07,234,0.9459,0.0857
P2_2018-10..2019-08,2018-10,62,0.9113,0.1571
P2_2018-10..2019-08,2018-11,47,0.991,0.0185
P2_2018-10..2019-08,2018-12,169,0.9368,0.1238
P2_2018-10..2019-08,2019-01,123,0.9666,0.1054
P2_2018-10..2019-08,2019-02,90,0.9144,0.1471
P2_2018-10..2019-08,2019-03,27,0.9923,0.0065
P2_2018-10..2019-08,2019-04,139,0.9767,0.0804
P2_2018-10..2019-08,2019-05,34,0.9865,0.0184
P2_2018-10..2019-08,2019-06,57,0.9846,0.0201
P2_2018-10..2019-08,2019-07,48,0.9957,0.0085
P2_2018-10..2019-08,2019-08,10,0.9978,0.0047
