legislature,ym,n,mean_abs
ANC,2012-07,2,0.6484
ANC,2012-11,13,0.3985
ANC,2012-12,56,0.4975
ANC,2013-03,22,0.4695
ANC,2013-04,31,0.449
ANC,2013-05,6,0.6142
ANC,2013-06,5,0.6529
ANC,2013-07,12,0.3421
ANC,2013-08,1,0.6589
ANC,2013-09,10,0.3943
ANC,2013-10,17,0.3663
ANC,2013-11,39,0.3552
ANC,2013-12,239,0.493
ANC,2014-01,452,0.4062
ANC,2014-02,3,0.3765
ANC,2014-03,7,0.6278
ANC,2014-04,414,0.4502
ANC,2014-05,30,0.3735
ANC,2014-06,46,0.3629
ANC,2014-07,57,0.4481
ANC,2014-08,106,0.3354
ANC,2014-09,124,0.3779
ARP,2015-02,3,0.2535
ARP,2015-03,15,0.4631
ARP,2015-04,46,0.6884
ARP,2015-05,98,0.5145
ARP,2015-06,13,0.5526
ARP,2015-07,188,0.425
ARP,2015-08,149,0.606
ARP,2015-09,104,0.4574
ARP,2015-10,14,0.6358
ARP,2015-11,205,0.4983
ARP,2015-12,156,0.4999
ARP,2016-01,20,0.6968
ARP,2016-02,57,0.5435
ARP,2016-03,187,0.4241
ARP,2016-04,258,0.4547
ARP,2016-05,132,0.52
ARP,2016-06,310,0.5664
ARP,2016-07,128,0.4158
ARP,2016-08,1,0.3688
ARP,2016-09,76,0.3091
ARP,2016-11,47,0.4097
ARP,2016-12,168,0.3991
ARP,2017-01,11,0.3426
ARP,2017-02,104,0.3849
ARP,2017-03,37,0.4393
ARP,2017-04,67,0.489
ARP,2017-05,24,0.5052
ARP,2017-06,27,0.3412
ARP,2017-07,196,0.4443
ARP,2017-09,33,0.3977
ARP,2017-10,4,0.6384
ARP,2017-11,9,0.4064
ARP,2017-12,114,0.4666
ARP,2018-01,83,0.4273
ARP,2018-02,23,0.5651
ARP,2018-03,15,0.5554
ARP,2018-04,665,0.4526
ARP,2018-05,120,0.5476
ARP,2018-06,19,0.4227
ARP,2018-07,233,0.4277
ARP,2018-10,62,0.2803
ARP,2018-11,47,0.6436
ARP,2018-12,169,0.515
ARP,2019-01,122,0.4334
ARP,2019-02,90,0.3203
ARP,2019-03,27,0.5428
ARP,2019-04,139,0.5475
ARP,2019-05,34,0.523
ARP,2019-06,57,0.4114
ARP,2019-07,48,0.4562
ARP,2019-08,10,0.2703
